name,value,year,lastValue,rank
diabetes,25,1845,23,1
malaria,13,1845,13,2
arthritis,0,1845,0,3
chagas,0,1845,0,4
hiv,0,1845,0,5
tuberculosis,0,1845,0,6
dengue,0,1845,0,7
diabetes,27,1846,25,1
malaria,13,1846,13,2
tuberculosis,0,1846,0,3
dengue,0,1846,0,4
chagas,0,1846,0,5
arthritis,0,1846,0,6
hiv,0,1846,0,7
diabetes,28,1847,27,1
malaria,13,1847,13,2
dengue,0,1847,0,3
tuberculosis,0,1847,0,4
hiv,0,1847,0,5
chagas,0,1847,0,6
arthritis,0,1847,0,7
diabetes,31,1848,28,1
malaria,13,1848,13,2
tuberculosis,2,1848,0,3
dengue,0,1848,0,4
chagas,0,1848,0,5
arthritis,0,1848,0,6
hiv,0,1848,0,7
diabetes,33,1849,31,1
malaria,13,1849,13,2
tuberculosis,2,1849,2,3
dengue,0,1849,0,4
chagas,0,1849,0,5
arthritis,0,1849,0,6
hiv,0,1849,0,7
diabetes,33,1850,33,1
malaria,13,1850,13,2
tuberculosis,2,1850,2,3
dengue,0,1850,0,4
hiv,0,1850,0,5
arthritis,0,1850,0,6
chagas,0,1850,0,7
diabetes,33,1851,33,1
malaria,13,1851,13,2
tuberculosis,2,1851,2,3
chagas,0,1851,0,4
arthritis,0,1851,0,5
hiv,0,1851,0,6
dengue,0,1851,0,7
diabetes,33,1852,33,1
malaria,13,1852,13,2
tuberculosis,2,1852,2,3
dengue,1,1852,0,4
arthritis,0,1852,0,5
chagas,0,1852,0,6
hiv,0,1852,0,7
diabetes,36,1853,33,1
malaria,13,1853,13,2
tuberculosis,5,1853,2,3
dengue,1,1853,1,4
hiv,0,1853,0,5
chagas,0,1853,0,6
arthritis,0,1853,0,7
diabetes,36,1854,36,1
malaria,13,1854,13,2
tuberculosis,6,1854,5,3
dengue,1,1854,1,4
hiv,0,1854,0,5
arthritis,0,1854,0,6
chagas,0,1854,0,7
diabetes,37,1855,36,1
malaria,14,1855,13,2
tuberculosis,6,1855,6,3
dengue,1,1855,1,4
chagas,0,1855,0,5
arthritis,0,1855,0,6
hiv,0,1855,0,7
diabetes,39,1856,37,1
malaria,18,1856,14,2
tuberculosis,7,1856,6,3
dengue,1,1856,1,4
arthritis,0,1856,0,5
chagas,0,1856,0,6
hiv,0,1856,0,7
diabetes,46,1857,39,1
malaria,19,1857,18,2
tuberculosis,7,1857,7,3
dengue,1,1857,1,4
chagas,0,1857,0,5
arthritis,0,1857,0,6
hiv,0,1857,0,7
diabetes,46,1858,46,1
malaria,19,1858,19,2
tuberculosis,7,1858,7,3
dengue,1,1858,1,4
arthritis,1,1858,0,5
hiv,0,1858,0,6
chagas,0,1858,0,7
diabetes,49,1859,46,1
malaria,19,1859,19,2
tuberculosis,7,1859,7,3
dengue,1,1859,1,4
arthritis,1,1859,1,5
hiv,0,1859,0,6
chagas,0,1859,0,7
diabetes,50,1860,49,1
malaria,19,1860,19,2
tuberculosis,7,1860,7,3
dengue,1,1860,1,4
arthritis,1,1860,1,5
hiv,0,1860,0,6
chagas,0,1860,0,7
diabetes,51,1861,50,1
malaria,19,1861,19,2
tuberculosis,7,1861,7,3
arthritis,1,1861,1,4
dengue,1,1861,1,5
chagas,0,1861,0,6
hiv,0,1861,0,7
diabetes,53,1862,51,1
malaria,19,1862,19,2
tuberculosis,7,1862,7,3
dengue,1,1862,1,4
arthritis,1,1862,1,5
hiv,0,1862,0,6
chagas,0,1862,0,7
diabetes,53,1863,53,1
malaria,19,1863,19,2
tuberculosis,7,1863,7,3
arthritis,1,1863,1,4
dengue,1,1863,1,5
chagas,0,1863,0,6
hiv,0,1863,0,7
diabetes,54,1864,53,1
malaria,19,1864,19,2
tuberculosis,7,1864,7,3
arthritis,1,1864,1,4
dengue,1,1864,1,5
hiv,0,1864,0,6
chagas,0,1864,0,7
diabetes,56,1865,54,1
malaria,19,1865,19,2
tuberculosis,7,1865,7,3
dengue,1,1865,1,4
arthritis,1,1865,1,5
hiv,0,1865,0,6
chagas,0,1865,0,7
diabetes,57,1866,56,1
malaria,20,1866,19,2
tuberculosis,7,1866,7,3
arthritis,1,1866,1,4
dengue,1,1866,1,5
hiv,0,1866,0,6
chagas,0,1866,0,7
diabetes,59,1867,57,1
malaria,20,1867,20,2
tuberculosis,10,1867,7,3
dengue,2,1867,1,4
arthritis,1,1867,1,5
hiv,0,1867,0,6
chagas,0,1867,0,7
diabetes,59,1868,59,1
malaria,20,1868,20,2
tuberculosis,11,1868,10,3
dengue,2,1868,2,4
arthritis,1,1868,1,5
chagas,0,1868,0,6
hiv,0,1868,0,7
diabetes,65,1869,59,1
malaria,20,1869,20,2
tuberculosis,13,1869,11,3
dengue,2,1869,2,4
arthritis,1,1869,1,5
hiv,0,1869,0,6
chagas,0,1869,0,7
diabetes,68,1870,65,1
malaria,20,1870,20,2
tuberculosis,15,1870,13,3
dengue,2,1870,2,4
arthritis,1,1870,1,5
chagas,0,1870,0,6
hiv,0,1870,0,7
diabetes,70,1871,68,1
malaria,20,1871,20,2
tuberculosis,17,1871,15,3
dengue,3,1871,2,4
arthritis,1,1871,1,5
hiv,0,1871,0,6
chagas,0,1871,0,7
diabetes,73,1872,70,1
malaria,21,1872,20,2
tuberculosis,17,1872,17,3
dengue,15,1872,3,4
arthritis,1,1872,1,5
hiv,0,1872,0,6
chagas,0,1872,0,7
diabetes,76,1873,73,1
malaria,23,1873,21,2
dengue,20,1873,15,3
tuberculosis,17,1873,17,4
arthritis,1,1873,1,5
chagas,0,1873,0,6
hiv,0,1873,0,7
diabetes,82,1874,76,1
malaria,24,1874,23,2
dengue,21,1874,20,3
tuberculosis,18,1874,17,4
arthritis,1,1874,1,5
hiv,0,1874,0,6
chagas,0,1874,0,7
diabetes,87,1875,82,1
malaria,30,1875,24,2
