name,value,year,lastValue,rank
tuberculosis,50145,1959,47522,1
arthritis,13306,1959,12334,2
diabetes,11696,1959,10685,3
malaria,5567,1959,5423,4
chagas,474,1959,428,5
dengue,218,1959,213,6
hiv,1,1959,1,7
tuberculosis,52799,1960,50145,1
arthritis,14312,1960,13306,2
diabetes,12610,1960,11696,3
malaria,5719,1960,5567,4
chagas,534,1960,474,5
dengue,223,1960,218,6
hiv,1,1960,1,7
tuberculosis,55290,1961,52799,1
arthritis,15382,1961,14312,2
diabetes,13644,1961,12610,3
malaria,5896,1961,5719,4
chagas,595,1961,534,5
dengue,230,1961,223,6
hiv,1,1961,1,7
tuberculosis,57669,1962,55290,1
arthritis,16587,1962,15382,2
diabetes,14781,1962,13644,3
malaria,6043,1962,5896,4
chagas,641,1962,595,5
dengue,234,1962,230,6
hiv,1,1962,1,7
tuberculosis,60731,1963,57669,1
arthritis,18287,1963,16587,2
diabetes,16519,1963,14781,3
malaria,6258,1963,6043,4
chagas,734,1963,641,5
dengue,252,1963,234,6
hiv,1,1963,1,7
tuberculosis,64138,1964,60731,1
arthritis,20470,1964,18287,2
diabetes,18597,1964,16519,3
malaria,6538,1964,6258,4
chagas,813,1964,734,5
dengue,290,1964,252,6
hiv,1,1964,1,7
tuberculosis,66827,1965,64138,1
arthritis,22346,1965,20470,2
diabetes,20394,1965,18597,3
malaria,6790,1965,6538,4
chagas,898,1965,813,5
dengue,333,1965,290,6
hiv,1,1965,1,7
tuberculosis,69424,1966,66827,1
arthritis,24144,1966,22346,2
diabetes,22254,1966,20394,3
malaria,7109,1966,6790,4
chagas,978,1966,898,5
dengue,379,1966,333,6
hiv,2,1966,1,7
tuberculosis,72316,1967,69424,1
arthritis,26080,1967,24144,2
diabetes,24425,1967,22254,3
malaria,7428,1967,7109,4
chagas,1060,1967,978,5
dengue,423,1967,379,6
hiv,2,1967,2,7
tuberculosis,75343,1968,72316,1
arthritis,28329,1968,26080,2
diabetes,26909,1968,24425,3
malaria,7818,1968,7428,4
chagas,1132,1968,1060,5
dengue,451,1968,423,6
hiv,2,1968,2,7
tuberculosis,78060,1969,75343,1
arthritis,30803,1969,28329,2
diabetes,29359,1969,26909,3
malaria,8274,1969,7818,4
chagas,1257,1969,1132,5
dengue,497,1969,451,6
hiv,2,1969,2,7
tuberculosis,80686,1970,78060,1
arthritis,33170,1970,30803,2
diabetes,31890,1970,29359,3
malaria,8670,1970,8274,4
chagas,1352,1970,1257,5
dengue,549,1970,497,6
hiv,3,1970,2,7
tuberculosis,83327,1971,80686,1
arthritis,35696,1971,33170,2
diabetes,34707,1971,31890,3
malaria,9133,1971,8670,4
chagas,1445,1971,1352,5
dengue,587,1971,549,6
hiv,3,1971,3,7
tuberculosis,85744,1972,83327,1
arthritis,38191,1972,35696,2
diabetes,37359,1972,34707,3
malaria,9597,1972,9133,4
chagas,1547,1972,1445,5
dengue,637,1972,587,6
hiv,3,1972,3,7
tuberculosis,88190,1973,85744,1
arthritis,40777,1973,38191,2
diabetes,39888,1973,37359,3
malaria,10034,1973,9597,4
chagas,1623,1973,1547,5
dengue,700,1973,637,6
hiv,3,1973,3,7
tuberculosis,90531,1974,88190,1
arthritis,43449,1974,40777,2
diabetes,42491,1974,39888,3
malaria,10478,1974,10034,4
chagas,1701,1974,1623,5
dengue,746,1974,700,6
hiv,3,1974,3,7
tuberculosis,92606,1975,90531,1
arthritis,46151,1975,43449,2
diabetes,45073,1975,42491,3
malaria,10892,1975,10478,4
chagas,1799,1975,1701,5
dengue,802,1975,746,6
hiv,3,1975,3,7
tuberculosis,94467,1976,92606,1
arthritis,48684,1976,46151,2
diabetes,47838,1976,45073,3
malaria,11307,1976,10892,4
chagas,1893,1976,1799,5
dengue,850,1976,802,6
hiv,3,1976,3,7
tuberculosis,96208,1977,94467,1
arthritis,51369,1977,48684,2
diabetes,50837,1977,47838,3
malaria,11693,1977,11307,4
chagas,1999,1977,1893,5
dengue,905,1977,850,6
hiv,3,1977,3,7
tuberculosis,97886,1978,96208,1
arthritis,54038,1978,51369,2
diabetes,53907,1978,50837,3
malaria,12156,1978,11693,4
chagas,2119,1978,1999,5
dengue,956,1978,905,6
hiv,3,1978,3,7
tuberculosis,99615,1979,97886,1
diabetes,57390,1979,53907,2
arthritis,56830,1979,54038,3
malaria,12644,1979,12156,4
chagas,2244,1979,2119,5
dengue,1029,1979,956,6
hiv,3,1979,3,7
tuberculosis,101254,1980,99615,1
diabetes,61022,1980,57390,2
arthritis,59530,1980,56830,3
malaria,13076,1980,12644,4
chagas,2397,1980,2244,5
dengue,1088,1980,1029,6
hiv,3,1980,3,7
tuberculosis,102888,1981,101254,1
diabetes,64721,1981,61022,2
arthritis,62486,1981,59530,3
malaria,13573,1981,13076,4
chagas,2548,1981,2397,5
dengue,1155,1981,1088,6
hiv,3,1981,3,7
tuberculosis,104767,1982,102888,1
diabetes,68838,1982,64721,2
arthritis,65637,1982,62486,3
malaria,14213,1982,13573,4
chagas,2709,1982,2548,5
dengue,1226,1982,1155,6
hiv,7,1982,3,7
tuberculosis,106471,1983,104767,1
diabetes,73099,1983,68838,2
arthritis,69118,1983,65637,3
malaria,14871,1983,14213,4
chagas,2886,1983,2709,5
dengue,1306,1983,1226,6
hiv,18,1983,7,7
tuberculosis,108146,1984,106471,1
diabetes,77551,1984,73099,2
arthritis,72468,1984,69118,3
malaria,15612,1984,14871,4
chagas,3051,1984,2886,5
dengue,1389,1984,1306,6
hiv,68,1984,18,7
tuberculosis,109906,1985,108146,1
diabetes,82302,1985,77551,2
arthritis,75904,1985,72468,3
malaria,16384,1985,15612,4
chagas,3259,1985,3051,5
dengue,1454,1985,1389,6
hiv,227,1985,68,7
tuberculosis,111684,1986,109906,1
diabetes,87158,1986,82302,2
arthritis,79605,1986,75904,3
malaria,17160,1986,16384,4
chagas,3461,1986,3259,5
dengue,1531,1986,1454,6
hiv,1021,1986,227,7
tuberculosis,113506,1987,111684,1
diabetes,92390,1987,87158,2
arthritis,83396,1987,79605,3
malaria,18052,1987,17160,4
chagas,3664,1987,3461,5
hiv,3207,1987,1021,6
dengue,1646,1987,1531,7
tuberculosis,115353,1988,113506,1
diabetes,98255,1988,92390,2
arthritis,87429,1988,83396,3
malaria,18987,1988,18052,4
hiv,6936,1988,3207,5
chagas,3938,1988,3664,6
dengue,1730,1988,1646,7
tuberculosis,117506,1989,115353,1
diabetes,104732,1989,98255,2
arthritis,91609,1989,87429,3
malaria,19957,1989,18987,4
hiv,11460,1989,6936,5
chagas,4160,1989,3938,6
dengue,1842,1989,1730,7
tuberculosis,119829,1990,117506,1
diabetes,111447,1990,104732,2
arthritis,95860,1990,91609,3
malaria,21049,1990,19957,4
hiv,17316,1990,11460,5
chagas,4393,1990,4160,6
dengue,1949,1990,1842,7
